1;La Defense
1;Esplanade de La Defense
1;Pont de Neuilly
1;Les Sablons
1;Porte Maillot
1;Argentine
1;Charles de Gaulle Etoile
1;George V
1;Franklin Roosevelt
1;Champs Elysees Clemenceau
1;Concorde
1;Tuileries
1;Palais Royal Musee du Louvre
1;Louvre Rivoli
1;Chatelet
1;Hotel de Ville
1;St Paul
1;Bastille
1;Gare de Lyon
1;Reuilly Diderot
1;Nation
1;Porte de Vincennes
1;Saint Mande
1;Berault
1;Chateau de Vincennes
2;Porte Dauphine
2;Victor Hugo
2;Charles de Gaulle Etoile
2;Termes
2;Courcelles
2;Monceau
2;Villiers
2;Rome
2;Place de Clichy
2;Blanche
2;Pigalle
2;Anvers
2;Barbes Rochechouart
2;La Chapelle
2;Stalingrad
2;Jaures
2;Colonnel Fabien
2;Belleville
2;Coucouronnes
2;Melilmontant
2;Pere Lachaise
2;Philippe Auguste
2;Alexandre Dumas
2;Avron
2;Nation
3;Pont de Levallois Becon
3;Anatole France
3;Louise Michel
3;Porte de Champerret
3;Pereire
3;Wagram
3;Malesherbes
3;Villiers
3;Europe
3;Saint Lazare
3;Havre Caumartin
3;Opera
3;Quatre Septembre
3;Bourse
3;Sentier
3;Reaumur Sebastopol
3;Arts et Metiers
3;Temple
3;Republique
3;Rue Saint Maur
3;Pere Lachaise
3;Gambetta
3;Porte de Bagnolet
3;Gallieni
3B;Porte des Lilas
3B;Saint Fargeau
3B;Pelleport
3B;Gambetta
4;Porte de Clignancourt
4;Simplon
4;Marcadet Poissonniers
4;Chateau Rouge
4;Barbes Rochechouart
4;Gare du Nord
4;Gare de l'Est
4;Chateau d'Eau
4;Strasbourg St Denis
4;Reaumur Sebastopol
4;Etienne Marcel
4;Les Halles
4;Chatelet
4;Cite
4;Saint Michel
4;Odeon
4;St Germain des Pres
4;St Sulpice
4;Sainte Placide
4;Montparnasse Bienvenue
4;Vavin
4;Raspail
4;Denfert Rochereau
4;Mouton Duvernet
4;Alesia
4;Porte d'Orleans
5;Bobigny Pablo Picasso
5;Bobigny Pantin Raymond Queneau
5;Eglise de Pantin
5;Hoche
5;Porte de Pantin
5;Ourcq
5;Laumiere
5;Jaures
5;Stalingrad
5;Gare du Nord
5;Gare de l'Est
5;Jacques Bonsergent
5;Republique
5;Oberkampf
5;Richard Lenoir
5;Breguet Sabin
5;Bastille
5;Quai de la Rapee
5;Gare d'Austerlitz
5;Saint Marcel
5;Campo Formio
5;Place d'Italie
6;Charles de Gaulle Etoile
6;Kleber
6;Boissiere
6;Trocadero
6;Passy
6;Bir Hakeim
6;Dupleix
6;La Motte Picquet Grenelle
6;Cambrone
6;Sevres Lecourbe
6;Pasteur
6;Montparnasse Bienvenue
6;Edgar Quinet
6;Raspail
6;Denfert Rochereau
6;Saint Jacques
6;Classiere
6;Corvisart
6;Place d'Italie
6;Nationale
6;Chevaleret
6;Quai de la Gare
6;Bercy
6;Dugommier
6;Daumesnil
6;Bel Air
6;Picpus
6;Nation
7;La Courneuve 8 Mai 1945
7;Fort d'Aubervilliers
7;Aubervilliers Pantin Quatre chemins
