Mairie de St Ouen;2.33384;48.91204
Mairie d'Issy;2.27317;48.82427
Mairie d'Ivry;2.38338;48.81116
Maison Blanche;2.35853;48.82217
Maisons Alfort Les Juilliottes;2.44621;48.80257
Maisons Alfort Stade;2.43616;48.80822
Marcel Sembat;2.244775;48.83411
Malakoff Plateau de Vanves;2.29833;48.82305
Malakoff Rue Etienne Dolet;2.29675;48.81522
Malesherbes;2.31094;48.88248
Maraichers;2.40629;48.8528
Marcadet Poissonniers;2.34939;48.89143
Marx Dormoy;2.3598;48.89022
Maubert Mutualite;2.34796;48.85026
Melilmontant;2.38363;48.8663
Michel Ange Auteuil;2.26424;48.84797
Michel Ange Molitor;2.2617;48.84518
Michel Bizot;2.40217;48.83721
Mirabeau;2.27256;48.84715
Miromesnil;2.3141;48.87379
Monceau;2.30904;48.88041
Montgallet;2.38988;48.84443
Montparnasse Bienvenue;2.32305;48.84347
Mouton Duvernet;2.33057;48.83215
Nation;2.39581;48.84877
Nationale;2.36261;48.83321
Notre Dame des Champs;2.3286;48.84521
Notre Dame de Lorette;2.337784;48.87605
Oberkampf;2.37058;48.86352
Odeon;2.33882;48.8524
Olympiades;2.36743;48.8272
Opera;2.33234;48.87066
Ourcq;2.38574;48.88689
Palais Royal Musee du Louvre;2.33603;48.86293
Pointe du Lac;2.464321;48.768738
Passy;2.28579;48.85753
Pasteur;2.31267;48.84301
Pelleport;2.40175;48.86869
Pereire;2.29732;48.88494
Pere Lachaise;2.3874;48.86296
Permety;2.31805;48.83395
Philippe Auguste;2.38972;48.85845
Picpus;2.4022;48.84501
Pierre Curie;2.37739;48.81589
Pigalle;2.33757;48.88229
Place de Clichy;2.32736;48.88357
Place des Fetes;2.39268;48.87683
Place d'Italie;2.35568;48.8315
Place Monge;2.35241;48.84352
Plaisance;2.31402;48.83174
Poissonniere;2.34938;48.87741
Pont de Levallois Becon;2.28104;48.89713
Pont de Neuilly;2.25847;48.88541
Pont de Sevres;2.23095;48.82984
Pont Marie;2.35722;48.85365
Pont Neuf;2.34206;48.8585
Porte Dauphine;2.27522;48.87166
Porte d'Auteuil;2.25771;48.84828
Porte de Bagnolet;2.40882;48.86452
Porte de Champerret;2.29248;48.88579
Porte de Charenton;2.4004;48.83281
Porte de Choisy;2.36454;48.82001
Porte de Clichy;2.31227;48.89253
Porte de Clignancourt;2.34495;48.89735
Porte de la Chapelle;2.3593;48.89738
Porte de la Villette;2.38586;48.8971
Porte de Montreuil;2.4105;48.85356
Porte de Pantin;2.39626;48.88974
Porte des Lilas;2.40641;48.87725
Porte de St Cloud;2.25695;48.8381
Porte de St Ouen;2.32891;48.89751
Porte de Vanves;2.30536;48.82773
Porte de Versailles;2.28775;48.83232
Porte de Vincennes;2.41099;48.84706
Porte d'Italie;2.35947;48.81911
Porte d'Ivry;2.36918;48.82157
Porte Doree;2.40593;48.83538
Porte d'Orleans;2.32558;48.82316
Porte Maillot;2.28191;48.87796
Pre St Gervais;2.39874;48.88024
Pyramides;2.33392;48.86648
Pyrenees;2.38526;48.87392
Quai de la Gare;2.37306;48.83725
Quai de la Rapee;2.36587;48.84655
Quatre Septembre;2.33646;48.86966
Rambuteau;2.3534;48.86124
Ranelagh;2.26962;48.85504
Raspail;2.33072;48.83904
Reaumur Sebastopol;2.35239;48.86628
Rennes;2.32804;48.84847
Republique;2.363809;48.867504
Reuilly Diderot;2.38657;48.84732
Richard Lenoir;2.37207;48.86026
Richelieu Drouot;2.33968;48.87213
Riquet;2.37416;48.88838
Robespierre;2.42346;48.85579
Rome;2.32028;48.88213
Rue de la Pompe;2.27823;48.86415
Rue des Boulets;2.38903;48.85255
Rue du Bac;2.32555;48.85595
Rue Saint Maur;2.37945;48.86436
Saint Amboise;2.37421;48.8613
Saint Augustin;2.32147;48.87468
Saint Denis Porte de Paris;2.35592;48.92992
Saint Denis Universite;2.36261;48.94609
Sainte Placide;2.32693;48.84702
Saint Fargeau;2.40465;48.87198
Saint Georges;2.33737;48.87852
Saint Jacques;2.33708;48.83293
Saint Lazare;2.32374;48.87594
Saint Mande;2.41902;48.846
Saint Marcel;2.3614;48.83946
Saint Michel;2.34392;48.85368
Saint Philippe du Roule;2.30999;48.87228
Saint Sebastien Froissart;2.36722;48.86109
Segur;2.30689;48.84749
Sentier;2.346344;48.867834
Sevres Babylone;2.32652;48.85132
Sevres Lecourbe;2.30946;48.84565
Simplon;2.34819;48.8934
Solferino;2.32325;48.85832
Stalingrad;2.36916;48.88464
St Francois Xavier;2.31427;48.85167
St Germain des Pres;2.33326;48.85392
St Paul;2.36138;48.85518
Strasbourg St Denis;2.3542;48.8694
St Sulpice;2.33117;48.85152
Sully Morland;2.3623;48.85125
Telegraphe;2.39899;48.87558
Temple;2.36073;48.86642
Termes;2.2982;48.87807
Tolbiac;2.35703;48.82612
Trinite d4estienne d'Orves;2.33319;48.87635
Trocadero;2.2872;48.8629
Tuileries;2.32836;48.86498
Vaneau;2.32156;48.84899
Varenne;2.31493;48.85623
Vaugirard;2.30149;48.83964
Vavin;2.32893;48.84224
Victor Hugo;2.28526;48.86991
Villejuif Leo Lagrange;2.36379;48.80464
Villejuif Louis Aragon;2.36711;48.78705
Villejuif Paul Vaillant Couturier;2.36809;48.79652
Villiers;2.31582;48.88145
Volontaires;2.30813;48.8416
Voltaire;2.38034;48.85798
Wagram;2.30367;48.88428
